rank,count,l1_same_ratio,l2_same_ratio,l3_same_ratio
1,5502,0.7185,0.5767,0.4815
5,5502,0.6161,0.446,0.333
10,5502,0.5652,0.3822,0.2555
20,5502,0.5036,0.2966,0.179
50,5502,0.3957,0.1968,0.0976
100,5502,0.317,0.1232,0.052
