size_quintile,total_neighbors,same_size_ratio,same_size_mean_score,cross_size_mean_score
1,110100,0.2092,0.6488,0.6484
2,110000,0.2021,0.653,0.6545
3,110000,0.2049,0.6636,0.6618
4,110000,0.2101,0.6688,0.6652
5,110100,0.3384,0.6917,0.6733
