rank_band,count,return_diff_mean,return_diff_std,vol_diff_mean,vol_diff_std
core,27510,0.1574,0.1949,0.0087,0.0149
strong,27510,0.16,0.1954,0.009,0.0152
stable,55020,0.1618,0.2006,0.0091,0.0151
context,165060,0.1617,0.1962,0.0092,0.0149
extended,275100,0.1641,0.1957,0.0095,0.015
