view_name,view_key,rank_layer,baseline_type,metric,semantic_n_edges,semantic_mean,random_mean_mean,delta_mean,lift,z_score,bootstrap_ci_low,bootstrap_ci_high,decision
main_business_detail,46bbc3c09f1c,rank_001_005,global_random,corr_resid_full_neutral,25555,0.0025814294349402,0.0005825177158476,0.0019989117190926,4.431503737502775,1.716492333566154,0.0009919891657773,0.0043882280937395,rejected
main_business_detail,46bbc3c09f1c,rank_001_005,same_l3_random,corr_resid_full_neutral,25555,0.0025814294349402,0.0032302876655012,-0.0006488582305609,0.7991329882193924,-0.7310598390821792,0.0009919891657773,0.0043882280937395,rejected
main_business_detail,46bbc3c09f1c,rank_001_005,same_l3_same_size_random,corr_resid_full_neutral,25555,0.0025814294349402,0.1545185407996177,-0.1519371113646774,0.0167062762926803,-316.45288551889763,0.0009919891657773,0.0043882280937395,rejected
main_business_detail,46bbc3c09f1c,rank_001_005,cross_l1_random,corr_resid_full_neutral,25555,0.0025814294349402,0.0007487124897306,0.0018327169452096,3.4478247262431307,1.9061451661485729,0.0009919891657773,0.0043882280937395,rejected
main_business_detail,46bbc3c09f1c,rank_006_010,global_random,corr_resid_full_neutral,25528,0.0019631232134997,0.0005825177158476,0.0013806054976521,3.370066111454338,1.1855444789102545,0.0001722276720101,0.003557335678488,rejected
main_business_detail,46bbc3c09f1c,rank_006_010,same_l3_random,corr_resid_full_neutral,25528,0.0019631232134997,0.0032302876655012,-0.0012671644520014,0.6077239604588569,-1.4276971405138863,0.0001722276720101,0.003557335678488,rejected
main_business_detail,46bbc3c09f1c,rank_006_010,same_l3_same_size_random,corr_resid_full_neutral,25528,0.0019631232134997,0.1545185407996177,-0.1525554175861179,0.0127047744778123,-317.74068667657184,0.0001722276720101,0.003557335678488,rejected
main_business_detail,46bbc3c09f1c,rank_006_010,cross_l1_random,corr_resid_full_neutral,25528,0.0019631232134997,0.0007487124897306,0.0012144107237691,2.621998751758704,1.2630663654211252,0.0001722276720101,0.003557335678488,rejected
main_business_detail,46bbc3c09f1c,rank_011_020,global_random,corr_resid_full_neutral,51027,0.0025711327325552,0.0006290767486643,0.0019420559838909,4.087152701183886,3.006048101152013,0.0012631204910576,0.0037804727850016,supported
main_business_detail,46bbc3c09f1c,rank_011_020,same_l3_random,corr_resid_full_neutral,51027,0.0025711327325552,0.0035937022278085,-0.0010225694952532,0.7154551405677231,-2.1531319749149245,0.0012631204910576,0.0037804727850016,rejected
main_business_detail,46bbc3c09f1c,rank_011_020,same_l3_same_size_random,corr_resid_full_neutral,51027,0.0025711327325552,0.1544900694489479,-0.1519189367163926,0.0166427055261627,-362.6600312660115,0.0012631204910576,0.0037804727850016,rejected
main_business_detail,46bbc3c09f1c,rank_011_020,cross_l1_random,corr_resid_full_neutral,51027,0.0025711327325552,0.0006923588218705,0.0018787739106847,3.713584129121098,2.798131149840941,0.0012631204910576,0.0037804727850016,supported
theme_text,07a2d5b269d2,rank_001_005,global_random,corr_resid_full_neutral,25454,0.0023092681076377,0.0005825177158476,0.0017267503917901,3.9642882007075655,1.4827837473661007,0.0007058628711092,0.0039507166249677,rejected
theme_text,07a2d5b269d2,rank_001_005,same_l3_random,corr_resid_full_neutral,25454,0.0023092681076377,0.0032302876655012,-0.0009210195578634,0.7148800189841499,-1.0377003450831686,0.0007058628711092,0.0039507166249677,rejected
theme_text,07a2d5b269d2,rank_001_005,same_l3_same_size_random,corr_resid_full_neutral,25454,0.0023092681076377,0.1545185407996177,-0.1522092726919799,0.0149449256748577,-317.0197400324391,0.0007058628711092,0.0039507166249677,rejected
