rank_band_exclusive,cooccur_extreme_up,cooccur_extreme_down
rank_001_005,0.002691142,0.0028025757
rank_006_010,0.002745523,0.0027857223
rank_011_020,0.0027449587,0.0028018283
rank_021_050,0.002743304,0.0027854238
rank_051_100,0.0027118435,0.002741127
