rank_band_exclusive,cooccur_extreme_up,cooccur_extreme_down
rank_001_005,0.0027246997,0.0028494284
rank_006_010,0.00270256,0.002797504
rank_011_020,0.0027461112,0.0028192583
rank_021_050,0.0027168132,0.0027917377
rank_051_100,0.0026619374,0.0027699624
