rank_band_exclusive,cooccur_extreme_up,cooccur_extreme_down
rank_001_005,0.0026744977,0.0027302606
rank_006_010,0.00271523,0.0028781486
rank_011_020,0.002656678,0.002711952
rank_021_050,0.0027262168,0.002777711
rank_051_100,0.002731643,0.002778001
