rank_band_exclusive,cooccur_extreme_up,cooccur_extreme_down
rank_001_005,0.0027033787,0.0026746483
rank_006_010,0.0026630878,0.002773999
rank_011_020,0.0026887052,0.002725782
rank_021_050,0.00270292,0.0027064073
rank_051_100,0.0026890116,0.0027267935
