view_name,view_key,rank_layer,baseline_type,metric,semantic_n_edges,semantic_mean,random_mean_mean,delta_mean,lift,z_score,bootstrap_ci_low,bootstrap_ci_high,decision
chain_text,58563ca7113f,rank_001_005,global_random,corr_resid_full_neutral,25575,0.0022736149840056,0.0005825177158476,0.001691097268158,3.903082982974065,1.452167931371025,0.000218052180935,0.0040728983585722,rejected
chain_text,58563ca7113f,rank_006_010,global_random,corr_resid_full_neutral,25549,0.0022975327447056,0.0005825177158476,0.001715015028858,3.944142267609186,1.4727064336397666,0.0003983056965807,0.0040919328108429,rejected
chain_text,58563ca7113f,rank_011_020,global_random,corr_resid_full_neutral,51008,0.0017891755560413,0.0006290767486643,0.001160098807377,2.844129209735066,1.7956808897328518,0.0005546597400098,0.0031592487066518,rejected
